Title,PlayNum,Link
『华语女声』糟糕！是心动的感觉,590万,http://music.163.com/playlist?id=2259687728
有意思！这些歌的歌名居然对着唱反调,543万,http://music.163.com/playlist?id=2246886256
这世上“所有”的歌,720万,http://music.163.com/playlist?id=2236353964
【经典】聼一首老歌，想念一段时光,506万,http://music.163.com/playlist?id=2236351380
耳朵喜欢你 好听到可以单曲循环,1278万,http://music.163.com/playlist?id=2232237850
予你情诗百首，余生你是我的所有,885万,http://music.163.com/playlist?id=2230318386
T台节奏BGM•听完这单 谁还不是个超模咋地?,668万,http://music.163.com/playlist?id=2216189440
感情变了质，等时间掩埋,683万,http://music.163.com/playlist?id=2215440866
倾听100部电影，爱情的美丽与哀愁,522万,http://music.163.com/playlist?id=2203603614
你离开以后，我将自己活成了你的样子,512万,http://music.163.com/playlist?id=2205731441
你的青春里有没有属于你的一首歌？,2128万,http://music.163.com/playlist?id=2201879658
夏天快要过去，牵你手买冰淇淋,587万,http://music.163.com/playlist?id=2199015597
当进击节奏迷之出彩旋律Drum&Bass/Dubstep,545万,http://music.163.com/playlist?id=2202058359
点起一支烟，听一首粤语歌,601万,http://music.163.com/playlist?id=2197936899
100个悲伤的瞬间，有没有你的心酸？,971万,http://music.163.com/playlist?id=2179646633
致回不去的校园，致那美好的曾经,721万,http://music.163.com/playlist?id=2182683172
于时间的长廊上 你再也不等我,1059万,http://music.163.com/playlist?id=2168895862
节奏带感且时尚性感<100首Fashion BGM>,907万,http://music.163.com/playlist?id=2173059435
熬夜和想你，我都该戒掉了,1496万,http://music.163.com/playlist?id=2163517726
"""多少人以朋友的名义爱着一个人? """,817万,http://music.163.com/playlist?id=2162749304
我爱你 第一句是假的 第二句也是假的,1422万,http://music.163.com/playlist?id=2144281377
2018公告牌全球百大DJ/电音制作人！,640万,http://music.163.com/playlist?id=2153498917
节奏带感且深邃性感 ️️这才系Deep House呀,1026万,http://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1392万,http://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1462万,http://music.163.com/playlist?id=2139324915
一百首‖让你瞬间勾起回忆的老歌,508万,http://music.163.com/playlist?id=2134203011
台湾偶像剧黄金年代|记忆是阵阵花香,717万,http://music.163.com/playlist?id=2134421380
求求你们了，让我睡会儿好不好,940万,http://music.163.com/playlist?id=2131958935
下次理发我要让我的Tony播放这个歌单,1427万,http://music.163.com/playlist?id=2120785460
【节奏控】那些一听就中毒的电音(纯音乐篇),560万,http://music.163.com/playlist?id=2120271089
纯音乐｜钢琴与旧书页，会跳舞的黑白键,523万,http://music.163.com/playlist?id=2099302296
玫瑰全都给你 可不可以把你给我？,558万,http://music.163.com/playlist?id=2097947168
『無前奏 | 女嗓』开口即跪 心醉神迷.,1530万,http://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,876万,http://music.163.com/playlist?id=2084738832
古风精选 你眼中是江湖 我眼中是你,634万,http://music.163.com/playlist?id=2074681032
想要办一场古风婚礼，许一世天地作嫁,511万,http://music.163.com/playlist?id=2074273616
「偶像练习生」参赛曲目(Nine Percent),646万,http://music.163.com/playlist?id=2070073302
只是想安静的 享受那份呼吸的感觉。o・°。,713万,http://music.163.com/playlist?id=2058497430
痛彻心扉地哭，然后刻骨铭心地记住,1122万,http://music.163.com/playlist?id=2059430694
百首日系抒情，总有一首触动你的心,603万,http://music.163.com/playlist?id=2048970456
2018全年抖腿指南，老铁你怕了吗？,1166万,http://music.163.com/playlist?id=2050704516
粤语女声 I 故事太多 没人会听你诉说,719万,http://music.163.com/playlist?id=2047424322
『致前任』我曾经很喜欢你 但也只能到这里,957万,http://music.163.com/playlist?id=2049424729
『曲作精选』细数古风圈原创作曲人❶,748万,http://music.163.com/playlist?id=2041615881
可爱即正义|愿永不失孩子气,517万,http://music.163.com/playlist?id=2025279629
同桌的你，曾是我期待上课的理由,610万,http://music.163.com/playlist?id=2253353419
这么热的天 当然要勤洗头啦,820万,http://music.163.com/playlist?id=2258899307
在这复杂的世界里，你是我唯一的甜,517万,http://music.163.com/playlist?id=2237551072
生命来来往往，来日并不方长,550万,http://music.163.com/playlist?id=2230558393
还记得你的梦想吗？别让你的梦只有想,686万,http://music.163.com/playlist?id=2219770152
后来你哭了，想安慰却忘了早已换了身份,831万,http://music.163.com/playlist?id=2218171336
我最大的遗憾，是你的遗憾与我有关,907万,http://music.163.com/playlist?id=2201957752
不好意思，我又想骗你们谈恋爱了,588万,http://music.163.com/playlist?id=2188765627
◢◤Avicii丨当一切都结束的时候再叫醒我,846万,http://music.163.com/playlist?id=2193725733
「毕业将至」我最想和你做的六十一件事。,574万,http://music.163.com/playlist?id=2178572409
「怦然心动」喜欢你头发的淡淡西瓜味,745万,http://music.163.com/playlist?id=2182092714
不怕汉子有文化，只怕他们有吉他,555万,http://music.163.com/playlist?id=2180739925
华语 | 我没有很想你，只是经常梦见你,571万,http://music.163.com/playlist?id=2172208421
『武侠梦』我应在江湖悠悠，饮一壶浊酒,507万,http://music.163.com/playlist?id=2167679218
你不知道我多羡慕你特立独行的样子,537万,http://music.163.com/playlist?id=2154763064
「亲爱的少年」你是我不能说的秘密,595万,http://music.163.com/playlist?id=2160550186
